"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"347",7548,20850,"Crenicichla sedentaria",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,26681
"348",7550,20852,"Crenicichla semicincta",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,26683
"349",7019,18651,"Crenicichla semifasciata",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",1057,"2003-07-02T15:37:33.000Z",NA,NA,"Sexual mature at 10-12 cm TL (Ref. 2060).",NA,23471
"350",8138,39514,"Crenicichla sipaliwini",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,46914
"351",8657,43461,"Crenicichla strigata",47079,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,1,"2000-03-03T00:00:00.000Z",1057,"2003-05-26T19:36:26.000Z",NA,NA,"Deposit eggs in caves at the ceiling, sometimes at the walls; female tends the clutch, male defends the territory; later both parents look after the free-swimming young. This corrects previous information from Ref. 13371.",NA,52193
"352",8139,39516,"Crenicichla tendybaguassu",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,46915
"353",8140,39518,"Crenicichla ternetzi",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,46917
"354",8142,39522,"Crenicichla urosema",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,46921
"355",8143,39525,"Crenicichla vittata",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,46924
"356",8144,39526,"Crenicichla wallacii",26487,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",1057,"2003-07-02T16:41:33.000Z",NA,NA,"About 150 aggs (Ref. 2060).",NA,46928
"357",6644,14926,"Cryptoheros sajica",2060,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1057,"2003-07-02T00:00:00.000Z",NA,"2003-07-02T00:00:00.000Z",NA,NA,"300 eggs, female tends the clutch.",NA,15901
"358",4191,8085,"Cryptoheros spilurus",7335,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,10,"1998-01-05T00:00:00.000Z",NA,"1998-01-05T00:00:00.000Z",NA,NA,"Usually lays eggs in sand depressions. Produces 300-400 offspring per spawning.",NA,7775
"359",3704,7018,"Ctenochromis benthicola",2059,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1,"1998-04-02T00:00:00.000Z",NA,"1998-04-02T00:00:00.000Z",NA,NA,"Mouthbrooding by females.",NA,6697
"360",3758,7072,"Ctenochromis horei",2059,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","maternal","1",86760,NA,NA,1,"1998-04-02T00:00:00.000Z",2,"2011-04-20T00:00:00.000Z",NA,NA,"Larvae of up to 1.42 cm TL are mouthbrooded by female parents ranging from 8.4 to 9.6 cm SL (Ref. 86760).",NA,6751
"361",3773,7087,"Ctenochromis luluae",2059,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1,"1998-04-02T00:00:00.000Z",NA,"1998-04-02T00:00:00.000Z",NA,NA,"Mouthbrooding by females.",NA,6766
"362",3811,7126,"Ctenochromis oligacanthus",2059,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1,"1998-04-02T00:00:00.000Z",NA,"1998-04-02T00:00:00.000Z",NA,NA,"Mouthbrooding by females.",NA,6805
"363",3825,7140,"Ctenochromis pectoralis",12251,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,10,"1998-03-12T00:00:00.000Z",NA,"1998-03-12T00:00:00.000Z",NA,NA,"Mouthbrooder.",NA,6819
"364",3839,7154,"Ctenochromis polli",2059,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1,"1998-04-02T00:00:00.000Z",NA,"1998-04-02T00:00:00.000Z",NA,NA,"Mouthbrooding by females.",NA,6833
"365",1263,2413,"Ctenopharynx pictus",2060,"dioecism","in mouth",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,339,"1998-07-03T00:00:00.000Z",NA,"1998-03-07T00:00:00.000Z",NA,NA,NA,NA,2214
"366",3125,8885,"Cyathopharynx furcifer",2060,"dioecism","in mouth",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","maternal","1",86760,NA,NA,1057,"2003-07-02T00:00:00.000Z",2,"2011-04-20T00:00:00.000Z",NA,NA,"Eggs from the cleavage phase and larvae of up to 1.69 cm TL are mouthbrooded by female parents ranging from 11.3 to 12.2 cm SL (Ref. 86760).",NA,8570
"367",1296,2518,"Cynotilapia afra",2060,"dioecism","in mouth",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1057,"2003-07-02T00:00:00.000Z",NA,"2003-07-02T00:00:00.000Z",NA,NA,"Sexual maturity is reached at 6-8 months. Female mouth brooder.",NA,2323
"368",3126,8887,"Cyphotilapia frontosa",7471,"dioecism","in mouth",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","maternal","1",86760,NA,NA,10,"1994-09-16T00:00:00.000Z",2,"2011-04-21T00:00:00.000Z",10,"1996-03-16T00:00:00.000Z","Females incubate eggs in buccal cavity. Early hatching embryos commence feeding on inhaled particles by the female when still in possession of large yolk (Ref. 7471).  In one study, larvae of up to 1.66 cm TL are mouthbrooded by a female parent 14.0 SL long (Ref. 86760).",NA,8572
"369",3127,8888,"Cyprichromis leptosoma",1672,"dioecism","in mouth",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","maternal","1",86760,NA,NA,339,"1998-06-30T00:00:00.000Z",2,"2011-04-21T00:00:00.000Z",NA,NA,"Eggs from the cleavage phase and larvae of up to 1.88 cm TL are mouthbrooded by female parents ranging from 6.8 to 7.6 cm SL (Ref. 86760).",NA,8573
