,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
109,Gymnapogon annona,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
110,Gymnapogon japonicus,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
111,Gymnapogon melanogaster,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
112,Gymnapogon philippinus,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
113,Gymnapogon urospilotus,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
114,Gymnapogon vanderbilti,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
115,Holapogon maximus,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
116,Jaydia albomarginatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
117,Jaydia argyrogaster,external,external brooders,NA,Mouthbrooders (Ref. 240 ). Distinct pairing during courtship and spawning (Ref. 205).,Y
118,Jaydia carinatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
119,Jaydia ellioti,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
120,Jaydia hungi,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
121,Jaydia lineata,external,external brooders,paternal,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
122,Jaydia melanopus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
123,Jaydia novaeguineae,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
124,Jaydia photogaster,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
125,Jaydia poecilopterus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
126,Jaydia quartus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
127,Jaydia queketti,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
128,Jaydia smithi,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
129,Jaydia striata,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
130,Jaydia truncata,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
131,Lachneratus phasmaticus,external,NA,NA,Distinct pairing during courtship and spawning (Ref. 205).,?
132,Lepidamia kalosoma,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
133,Lepidamia multitaeniata,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
134,Lepidamia natalensis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
135,Lepidamia omanensis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
